"Abbitt, W. H"
"Abbot, Henry L. (Henry Larcom), 1831-1927"
"Abbot, Waldo, 1888-"
"Abbot, Willis J. (Willis John), 1863-1934"
"Abbott, Bud"
"Abbott, Donald Putnam"
"Abbott, Horatio J. (Horatio Johnson), 1876-"
"Abbott, James"
"Abbott, Leonard Dalton, 1878-1953"
"Abbott, Nathan, 1854-1941"
"Abbott, Sidney D., b. 1826"
"Abdel-Massih, Ernest T"
"Abel, Henry J., 1890-1953"
"Abel, John Jacob, 1857-1938"
"Aberbach, Joel D"
"Abernethy, Alonzo, 1836-1915"
"Abraham, Nabeel"
"Abrams, Alan E"
"Abrams, G. D. (Gerald David), 1932-"
"Abu Ayn, Ziyad"
"Acheson, Dean, 1893-1971"
"Acheson, Phyllis"
"Achilles, Theodore C. (Theodore Carter), 1905-"
"Ackley, Gardner"
"Acton, Hugh"
"Adam, John J., 1807-1888"
"Adami, J. George (John George), 1862-1926"
"Adamic, Louis, 1899-1951"
"Adams, Adeline B"
"Adams, Adeline Valentine Pond, d. 1948"
"Adams, Bertha H. Wright"
"Adams, Brooks, 1848-1927"
"Adams, Charles C. (Charles Christopher), 1873-1955"
"Adams, Charles Francis, 1835-1915"
"Adams, Charles Francis, 1866-1954"
"Adams, Charles G. (Charles Gilchrist), 1936-"
"Adams, Charles Kendall, 1835-1902"
"Adams, Clark J., 1904-1981"
"Adams, Donald Earl, 1912-"
"Adams, Edward Francis, 1839-1939"
"Adams, Elizabeth S"
"Adams, Elizabeth Sylvia Ann (Douglass), 1821-1905"
"Adams, Ephraim Douglass, 1865-1930"
"Adams, Ephraim, 1818-1907"
"Adams, Evyn"
"Adams, Fred Winslow, 1866-1945"
"Adams, George Plimpton, 1882-1961"
"Adams, Henry C. (Henry Carter), 1851-1921"
"Adams, Henry Carter, 1851-1921"
"Adams, Henry Carter, 1891-1970"
"Adams, Henry Foster"
"Adams, Herbert Baxter, 1850-1901"
"Adams, Herbert, 1858-1945"
"Adams, James P. (James Pickwell), 1895-1969"
"Adams, James Truslow, 1878-1949"
"Adams, Jayno W"
"Adams, John Quincy, 1767-1848"
"Adams, Paul L. (Paul Lincoln), 1908-"
"Adams, R. C"
"Adams, Randolph Greenfield, 1892-1951"
"Adams, Sherman, 1899-1986"
"Adams, Theodore Wright, 1896-"
"Adams, Thomas Hammond, 1901-"
"Adams, Walter Sydney, 1876-1956"
"Adams, Wilbur Christopher"
"Adamson, Thomas Charles"
"Adamus, Greg"
"Adamus, Stanley, 1922-1988"
